Section / Page,Priority,Experience Question,Status,Telemetry Data,Measured by Tracking,Generic question?
Role details,P0,What actions do users take most commonly?,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""manage"",
    ""featName"": ""Role"",
    ""pageSection"": ""Role Details"",
    ""subPageSection"": ""header_actions""
}",,
Auth policy create,P1,From where do users enter the policy creation workflow? ,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""Create Authorization Policy"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""Authorization Policies""
}
{
    ""actionType"": ""click"",
    ""actionName"": ""save_role_create_policy"",
    ""featName"": ""Role"",
    ""pageSection"": ""form.create_role"",
    ""subPageSection"": ""footer""
}",,
Auth policy create,P0,How often do users create new authorization policies?,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""create_policy"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""Authorization Policies""
}
{
    ""actionType"": ""click"",
    ""actionName"": ""save_role_create_policy"",
    ""featName"": ""Role"",
    ""pageSection"": ""form.create_role"",
    ""subPageSection"": ""footer""
}",,
Auth policy create,P0,Which system defined roles do users utilize the most in policies? ,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""change_role.system_defined:Category Admin"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""form.create_authorization_policy"",
    ""subPageSection"": ""choose_role""
}",,
"Auth policy create, Policy update",P0,Do users typically create configured access or full access policies? ,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""select_entity_type:fullAccess"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""form.edit_authorization_policy""
}
{
    ""actionType"": ""click"",
    ""actionName"": ""select_entity_type:configureAccess"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""form.edit_authorization_policy""
}",,
"Auth policy create, Policy update",P0,How long does it take users to create policies? ,Implemented,"difference between form opened and saved.
{
    ""actionType"": ""click"",
    ""actionName"": ""save_policy"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": """"form.edit_authorization_policy""
}",,
"Auth policy create, Policy update",P0,How often do users check the future access box? ,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""change_future_access:true"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""form.edit_authorization_policy""
}",,
"Auth policy create, Policy update",P0,How often do users uncheck the automatic access box?,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""change_automatic_access:false"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""form.edit_authorization_policy""
}",,
"Auth policy create, Policy update",P0,How often do users select 'all entities' in the entity selector dropdown?,Implemented,"{
    ""actionType"": ""change"",
    ""actionName"": ""entity_type:All Entity Types"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""form.create_authorization_policy""
}",,
Auth policy create,P0,"Policy distribution between ones focussed on individual users, user groups, service accounts or some combination of these? ",Not feasible,,,
IDP list,P0,How many users have more than 1 IDP configured? ,Not feasible,This info can be got from pluse backend ,,
"Auth policy create, Policy update",P0,How often do users use the advanced filter? ,Implemented,"{
    ""actionType"": ""change"",
    ""actionName"": ""scope_filter:advanced"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""form.create_authorization_policy""
}",,
Auth policy create,P0,How many conditions do users add when creating an advanced filter?,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""add_condition"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""form.create_authorization_policy"",
    ""subPageSection"": ""advanced_filter""
}",,
"Auth policy create, Policy update",P0,How much time do users spend on each step of the policy creation workflow?,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""next"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""form.create_authorization_policy"",
    ""subPageSection"": ""step_1""
}",,
Auth policy create,P0,How often do users name policies?,Doubt,,,
"Auth policy create, Policy update",P0,How often do users click on 'view entity types' on the 2nd step? ,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""view_entity_types"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""form.create_authorization_policy""
}",,
Auth policy create,P0,Distribution of entity types that users grant access to in policy create? ,Not feasible,,,
"Auth policy create, Policy update",P0,Distribution of entity types that users grant access to in policy update? ,Not feasible,,,
Auth policy details,P0,How much time do users spend on the policy details page? ,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""view_policy_details"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""Authorization Policies""
}
{
    ""actionType"": ""click"",
    ""actionName"": ""close_policy"",
    ""featName"": ""Authorization Policy""
}",,
Auth policy details,P0,Which are the most commonly taken actions from the policy details page? ,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""duplicate"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""Authorization Policy Details"",
    ""subPageSection"": ""header_actions""
}",,
Policy update,P0,"When users update policies, how often do they change the role?",Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""change_role.system_defined:Action Service User"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""form.edit_authorization_policy"",
    ""subPageSection"": ""choose_role""
}
{
    ""actionType"": ""click"",
    ""actionName"": ""change_role:VPC Admin Copy 1"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""form.edit_authorization_policy"",
    ""subPageSection"": ""choose_role""
}",,
Policy update,P0,When editing a policy which are the entitiy types do they add most frequently? ,Not feasible,,,
Policy update,P0,When editing a policy which are the entitiy types do they remove most frequently? ,Not feasible,,,
Policy actions,P0,How often do users delete policies? ,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""delete:Authorization Policy test"",
    ""featName"": ""Authorization Policy"",
    ""pageSection"": ""Authorization Policies"",
    ""subPageSection"": ""actions_dropdown""
}",,
,,How many 'local users' do customers add? ,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""add_local_user"",
    ""featName"": ""Identity"",
    ""pageSection"": ""Identities"",
    ""subPageSection"": ""list_view""
}",,
,,How much time do users spend in each of the tabs in the identities page?,Implemented,"{
    ""featName"": ""IAM"",
    ""actionName"": ""nav_item.roles"",
    ""actionType"": ""click"",
    ""pageSection"": ""roles"",
    ""subPageSection"": ""header"",
    ""url"": ""/users""
}{
    ""actionType"": ""click"",
    ""actionName"": ""switch_tab:Imported Users"",
    ""featName"": ""Identity"",
    ""pageSection"": ""Identities"",
    ""subPageSection"": ""list_view""
}",,
,,Guided Experience placeholder - in the create role screen. ,Implemented,"{
    ""actionType"": ""click"",
    ""actionName"": ""guided_experience:enable"",
    ""featName"": ""Role"",
    ""pageSection"": ""form.create_role""
}","(placeholder, please update)",
